name,foodon_id,big9,mapping_method
fish sauce,FOODON_03317197,fish,label_match+curated_allergen
worcestershire sauce,FOODON_03305003,fish,label_match+curated_allergen
hot sauce,FOODON_03304006,,label_match
oyster sauce,FOODON_03317654,,label_match
balsamic vinegar,,,unmapped
red wine vinegar,,,unmapped
white wine vinegar,,,unmapped
apple cider vinegar,FOODON_03307916,,alias_match
rice vinegar,FOODON_03307370,,alias_match
white vinegar,FOODON_03301854,,alias_match
honey,UBERON_0036016,,label_match
maple syrup,FOODON_03301848,,label_match
jam,FOODON_03309973,,label_match
peanut butter,FOODON_03306867,peanuts,label_match
almond butter,FOODON_03310875,tree nuts,label_match
tahini,FOODON_00003855,sesame,label_match+curated_allergen
olive,FOODON_03317509,,label_match
caper,FOODON_00003493,,label_match
pickle,FOODON_00003005,,label_match
salsa,FOODON_03310086,,label_match
bbq sauce,,,unmapped
pesto,,milk;tree nuts,unmapped+curated_allergen
all-purpose flour,FOODON_03302339,wheat,curated_class
whole-wheat flour,FOODON_03302340,wheat,label_match
granulated sugar,FOODON_03420157,,alias_match
brown sugar,FOODON_03420156,,label_match
powdered sugar,,,unmapped
baking soda,CHEBI_32139,,alias_match
baking powder,FOODON_03301940,,label_match
yeast,FOODON_03411345,,label_match
cornstarch,,,unmapped
vanilla extract,NCBITaxon_51238,,alias_match
cocoa powder,FOODON_03301072,,label_match
chocolate chip,FOODON_03304096,,label_match
dark chocolate,FOODON_03303588,,label_match
cream of tartar,,,unmapped
molasses,CHEBI_83163,,label_match
chicken broth,FOODON_03303004,,label_match
beef broth,FOODON_03302091,,label_match
vegetable broth,FOODON_03315835,,alias_match
canned tomato,,,unmapped
tomato paste,FOODON_03301455,,label_match
tomato sauce,FOODON_03301217,,label_match
coconut milk,FOODON_03303084,tree nuts,label_match
white wine,FOODON_03310273,,label_match
red wine,FOODON_03310272,,label_match
